000365 Kira_Information
00037f Atheros
000745 Radlan_Computers
0009ff X-Net_2000
000ce7 MediaTek
000e8e SparkLAN
001020 Hand_Held_Products
0011f6 Asia_Pacific_Microsystems
00131e Peiker_acustic
001409 Magneti_Marelli
00166c Samsung
001b31 Neural_Image
001b53 Cisco
001de0 Intel
002261 Frontier_silicon
0023a7 Redpine_Signals
002500 Apple
002592 Guangzhou_Shirui
0025f0 Suga_Electronics
0026b4 Ford_Motor
0027ef No_Vendor
002bf1 No_Vendor
0033a5 No_Vendor
003d29 No_Vendor
0051ed LG_Innotek
0054af Continental_Automotive
005a13 Huawei
005f67 TP-Link
0075cd No_Vendor
007925 No_Vendor
007c2d Samsung
009337 Intel
009715 No_Vendor
00a388 Sky
00b362 Apple
00b7e9 No_Vendor
00c0ab Alfa_Inc
00c3a7 No_Vendor
00d143 No_Vendor
00e93a AzureWave
020081 No_Vendor
0417b6 Smart_Innovation
047056 Arcadyan
04b167 Xiaomi
04819b Sky
04b167 Xiaomi
04b429 Samsung
04d6aa Samsung
083af2 Espressif
087c39 Amazon
088e90 Intel
08b61f Expressif
08e9f6 Ampak
08ea40 Shenzhen_Bilian
0c2369 Honeywell_SPS
0c2fb0 Samsung
0c47c9 Amazon
0c5101 Apple
0cae7d Texas_Instruments
0cb2b7 Texas_Instruments
0cb815 Espressif
100645 Sagemcom
1009f9 Amazon
103c59 zte
105107 Intel
1063c8 Liteon_Technology
107b44 AsusTek
108ee0 Samsung
109693 Amazon
10a51d Intel
10b1df Cloud_Network_Technology
10b232 Qingdao_Intellegent
10bf67 Amazon
10d7b0 Sagemcom
10e4c2 Samsung
141333 AzureWave
142d27 Hon_Hai_Precision
145afc Liteon_Technology
147dda Apple
14857f Intel
14c14e Google
14f287 Apple
1831bf AsusTek
1835d1 Arris
1854cf Samsung
185880 Arcadyan
186024 Hewlett_Packard
18828c Arcadyan
18b430 Nest_Labs
18c8e7 Shenzhen_Hualistone
1c4d66 Amazon
1c599b Huawei
1cbfce Shenzhen_Century
1ce192 Qisda
1cfe2b Amazon
2016d8 Liteon
201f3b Google
2028bc Visionscape
2047ed Sky
20b001 Technicolor_Delivery
20d778 Texas_Instruments
